,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
23,,,,,1959-05-24,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.29,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,74,",,0",46,",,0",50,",,0,0800",,,,,,,,,,,,
24,,,,,1959-05-25,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,62,",,0",37,",,0",53,",,0,0800",,,,,,,,,,,,
25,,,,,1959-05-26,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,74,",,0",41,",,0",58,",,0,0800",,,,,,,,,,,,
26,,,,,1959-05-27,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,77,",,0",50,",,0",64,",,0,0800",,,,,,,,,,,,
27,,,,,1959-05-28,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,86,",,0",58,",,0",69,",,0,0800",,,,,,,,,,,,
28,,,,,1959-05-29,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,90,",,0",59,",,0",64,",,0,0800",,,,,,,,,,,,
29,,,,,1959-05-30,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,85,",,0",60,",,0",74,",,0,0800",,,,,,,,,,,,
30,,,,,1959-05-31,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,86,",,0",62,",,0",67,",,0,0800",,,,,,,,,,,,
31,,,,,1959-06-01,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,72,",,0",45,",,0",55,",,0,0800",,,,,,,,,,,,
32,,,,,1959-06-02,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,72,",,0",54,",,0",60,",,0,0800",,,,,,,,,,,,
33,,,,,1959-06-03,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",1.93,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,64,",,0",52,",,0",54,",,0,0800",,,,,,,,,,,,
34,,,,,1959-06-04,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,78,",,0",55,",,0",70,",,0,0800",,,,,,,,,,,,
35,,,,,1959-06-05,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,82,",,0",52,",,0",63,",,0,0800",,,,,,,,,,,,
