,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
0,,,1996-06-01,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",,,USC00190593,80,",,0",46,",,0",69,",,0,1900",,,,,,,,,,,,
1,,,1996-06-02,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,78,",,0",47,",,0",68,",,0,1900",,,,,,,,,,,,
2,,,1996-06-03,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.25,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,68,",,0",44,",,0",56,",,0,1900",    1,",,0",,,,,,,,,,
3,,,1996-06-04,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.11,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,76,",,0",55,",,0",71,",,0,1900",    1,",,0",,,,,,,,,,
4,,,1996-06-05,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.09,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,76,",,0",59,",,0",72,",,0,1900",,,,,,,,,,,,
5,,,1996-06-06,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.01,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,78,",,0",54,",,0",73,",,0,1900",,,,,,,,,,,,
6,,,1996-06-07,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,79,",,0",57,",,0",72,",,0,1900",,,,,,,,,,,,
7,,,1996-06-08,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.01,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,75,",,0",63,",,0",67,",,0,1900",,,,,,,,,,,,
8,,,1996-06-09,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,"T,,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,67,",,0",56,",,0",57,",,0,1900",,,,,,,,,,,,
9,,,1996-06-10,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.07,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,66,",,0",55,",,0",65,",,0,1900",,,,,,,,,,,,
10,,,1996-06-11,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,83,",,0",64,",,0",81,",,0,1900",,,,,,,,,,,,
11,,,1996-06-12,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,85,",,0",68,",,0",80,",,0,1900",,,,,,,,,,,,
12,,,1996-06-13,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,80,",,0",65,",,0",73,",,0,1900",,,,,,,,,,,,
13,,,1996-06-14,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,85,",,0",63,",,0",77,",,0,1900",,,,,,,,,,,,
14,,,1996-06-15,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,84,",,0",62,",,0",78,",,0,1900",,,,,,,,,,,,
15,,,1996-06-16,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,78,",,0",56,",,0",62,",,0,1900",,,,,,,,,,,,
16,,,1996-06-17,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,78,",,0",60,",,0",67,",,0,1900",,,,,,,,,,,,
17,,,1996-06-18,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,70,",,0",60,",,0",61,",,0,1900",,,,,,,,,,,,
18,,,1996-06-19,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,"T,,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,70,",,0",51,",,0",64,",,0,1900",,,,,,,,,,,,
19,,,1996-06-20,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.04,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,66,",,0",58,",,0",67,",,0,1900",,,,,,,,,,,,
20,,,1996-06-21,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.02,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,71,",,0",60,",,0",65,",,0,1900",    1,",,0",,,,,,,,,,
21,,,1996-06-22,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.02,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,65,",,0",57,",,0",59,",,0,1900",    1,",,0",,,,,,,,,,
22,,,1996-06-23,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.11,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,78,",,0",57,",,0",59,",,0,1900",    1,",,0",,,,,,,,,,
23,,,1996-06-24,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,68,",,0",56,",,0",65,",,0,1900",,,,,,,,,,,,
24,,,1996-06-25,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.75,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,80,",,0",59,",,0",70,",,0,1900",,,,,,,,,,,,
25,,,1996-06-26,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,73,",,0",55,",,0",71,",,0,1900",,,,,,,,,,,,
26,,,1996-06-27,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,"T,,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,76,",,0",52,",,0",66,",,0,1900",,,,,,,,,,,,
27,,,1996-06-28,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.15,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,71,",,0",57,",,0",68,",,0,1900",,,,,,,,,,,,
28,,,1996-06-29,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,75,",,0",48,",,0",68,",,0,1900",,,,,,,,,,,,
29,,,1996-06-30,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,69,",,0",61,",,0",66,",,0,1900",,,,,,,,,,,,
30,,,1996-07-01,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.25,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,86,",,0",59,",,0",81,",,0,1900",,,,,,,,,,,,
31,,,1996-07-02,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,81,",,0",62,",,0",75,",I,0,1900",,,,,,,,,,,,
32,,,1996-07-03,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.48,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,69,",I,0",63,",,0",68,",,0,1900",    1,",,0",    1,",,0",,,,,,,,
33,,,1996-07-04,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.33,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,75,",,0",63,",,0",65,",,0,1900",,,    1,",,0",,,,,,,,
34,,,1996-07-05,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,81,",,0",61,",,0",66,",,0,1900",,,,,,,,,,,,
35,,,1996-07-06,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,86,",,0",59,",,0",79,",,0,1900",,,,,,,,,,,,
36,,,1996-07-07,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,80,",,0",56,",,0",67,",,0,1900",,,,,,,,,,,,
37,,,1996-07-08,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,85,",,0",56,",,0",79,",,0,1900",,,,,,,,,,,,
38,,,1996-07-09,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.11,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,82,",,0",56,",,0",74,",,0,1900",    1,",,0",    1,",,0",,,,,,,,
39,,,1996-07-10,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.09,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,78,",,0",61,",,0",73,",,0,1900",,,    1,",,0",,,,,,,,
40,,,1996-07-11,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,79,",,0",54,",,0",76,",,0,1900",,,,,,,,,,,,
41,,,1996-07-12,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,80,",,0",56,",,0",74,",,0,1900",,,,,,,,,,,,
42,,,1996-07-13,19.8,42.588,-70.8371,,,"BEVERLY, MA US",1.90,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,74,",,0",63,",,0",66,",,0,1900",    1,",,0",    1,",,0",,,,,,,,
43,,,1996-07-14,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.34,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,82,",,0",63,",,0",67,",,0,1900",,,,,,,,,,,,
44,,,1996-07-15,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,80,",,0",66,",,0",72,",,0,1900",,,,,,,,,,,,
45,,,1996-07-16,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.02,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,84,",,0",71,",,0",81,",,0,1900",,,,,,,,,,,,
46,,,1996-07-17,19.8,42.588,-70.8371,,,"BEVERLY, MA US",0.00,",,0,1900",0.0,"P,,0,",0.0,"P,,0,",USC00190593,86,",,0",68,",,0",81,",,0,1900",,,,,,,,,,,,
