,STATION,NAME,DATE,SEASON,TMIN,TMAX,TAVG
87,USW00014739,"BOSTON, MA US",1937-03-29,SPRING,26,50,
88,USW00014739,"BOSTON, MA US",1937-03-30,SPRING,30,47,
89,USW00014739,"BOSTON, MA US",1937-03-31,SPRING,28,42,
90,USW00014739,"BOSTON, MA US",1937-04-01,SPRING,31,53,
91,USW00014739,"BOSTON, MA US",1937-04-02,SPRING,34,43,
92,USW00014739,"BOSTON, MA US",1937-04-03,SPRING,32,40,
93,USW00014739,"BOSTON, MA US",1937-04-04,SPRING,33,44,
94,USW00014739,"BOSTON, MA US",1937-04-05,SPRING,36,45,
95,USW00014739,"BOSTON, MA US",1937-04-06,SPRING,40,57,
96,USW00014739,"BOSTON, MA US",1937-04-07,SPRING,41,53,
97,USW00014739,"BOSTON, MA US",1937-04-08,SPRING,39,61,
98,USW00014739,"BOSTON, MA US",1937-04-09,SPRING,34,45,
99,USW00014739,"BOSTON, MA US",1937-04-10,SPRING,35,45,
100,USW00014739,"BOSTON, MA US",1937-04-11,SPRING,36,51,
101,USW00014739,"BOSTON, MA US",1937-04-12,SPRING,35,50,
102,USW00014739,"BOSTON, MA US",1937-04-13,SPRING,38,64,
103,USW00014739,"BOSTON, MA US",1937-04-14,SPRING,47,71,
104,USW00014739,"BOSTON, MA US",1937-04-15,SPRING,44,67,
105,USW00014739,"BOSTON, MA US",1937-04-16,SPRING,41,53,
106,USW00014739,"BOSTON, MA US",1937-04-17,SPRING,35,46,
107,USW00014739,"BOSTON, MA US",1937-04-18,SPRING,44,63,
108,USW00014739,"BOSTON, MA US",1937-04-19,SPRING,47,60,
109,USW00014739,"BOSTON, MA US",1937-04-20,SPRING,44,61,
110,USW00014739,"BOSTON, MA US",1937-04-21,SPRING,38,52,
111,USW00014739,"BOSTON, MA US",1937-04-22,SPRING,38,43,
112,USW00014739,"BOSTON, MA US",1937-04-23,SPRING,34,42,
113,USW00014739,"BOSTON, MA US",1937-04-24,SPRING,35,46,
114,USW00014739,"BOSTON, MA US",1937-04-25,SPRING,36,56,
115,USW00014739,"BOSTON, MA US",1937-04-26,SPRING,36,50,
116,USW00014739,"BOSTON, MA US",1937-04-27,SPRING,43,50,
117,USW00014739,"BOSTON, MA US",1937-04-28,SPRING,43,51,
118,USW00014739,"BOSTON, MA US",1937-04-29,SPRING,42,51,
119,USW00014739,"BOSTON, MA US",1937-04-30,SPRING,39,53,
120,USW00014739,"BOSTON, MA US",1937-05-01,SPRING,47,62,
121,USW00014739,"BOSTON, MA US",1937-05-02,SPRING,45,57,
122,USW00014739,"BOSTON, MA US",1937-05-03,SPRING,45,77,
123,USW00014739,"BOSTON, MA US",1937-05-04,SPRING,55,85,
124,USW00014739,"BOSTON, MA US",1937-05-05,SPRING,57,77,
125,USW00014739,"BOSTON, MA US",1937-05-06,SPRING,52,68,
126,USW00014739,"BOSTON, MA US",1937-05-07,SPRING,46,60,
127,USW00014739,"BOSTON, MA US",1937-05-08,SPRING,44,48,
128,USW00014739,"BOSTON, MA US",1937-05-09,SPRING,44,62,
129,USW00014739,"BOSTON, MA US",1937-05-10,SPRING,45,63,
130,USW00014739,"BOSTON, MA US",1937-05-11,SPRING,42,69,
131,USW00014739,"BOSTON, MA US",1937-05-12,SPRING,49,77,
132,USW00014739,"BOSTON, MA US",1937-05-13,SPRING,56,72,
133,USW00014739,"BOSTON, MA US",1937-05-14,SPRING,44,67,
134,USW00014739,"BOSTON, MA US",1937-05-15,SPRING,44,63,
135,USW00014739,"BOSTON, MA US",1937-05-16,SPRING,43,60,
136,USW00014739,"BOSTON, MA US",1937-05-17,SPRING,48,64,
137,USW00014739,"BOSTON, MA US",1937-05-18,SPRING,50,66,
138,USW00014739,"BOSTON, MA US",1937-05-19,SPRING,49,56,
139,USW00014739,"BOSTON, MA US",1937-05-20,SPRING,46,59,
140,USW00014739,"BOSTON, MA US",1937-05-21,SPRING,50,75,
141,USW00014739,"BOSTON, MA US",1937-05-22,SPRING,53,69,
142,USW00014739,"BOSTON, MA US",1937-05-23,SPRING,52,62,
143,USW00014739,"BOSTON, MA US",1937-05-24,SPRING,54,75,
144,USW00014739,"BOSTON, MA US",1937-05-25,SPRING,56,75,
145,USW00014739,"BOSTON, MA US",1937-05-26,SPRING,53,72,
146,USW00014739,"BOSTON, MA US",1937-05-27,SPRING,53,65,
147,USW00014739,"BOSTON, MA US",1937-05-28,SPRING,54,59,
148,USW00014739,"BOSTON, MA US",1937-05-29,SPRING,57,70,
149,USW00014739,"BOSTON, MA US",1937-05-30,SPRING,58,84,
150,USW00014739,"BOSTON, MA US",1937-05-31,SPRING,63,93,
151,USW00014739,"BOSTON, MA US",1937-06-01,SPRING,68,95,
152,USW00014739,"BOSTON, MA US",1937-06-02,SPRING,54,76,
153,USW00014739,"BOSTON, MA US",1937-06-03,SPRING,53,66,
154,USW00014739,"BOSTON, MA US",1937-06-04,SPRING,56,73,
155,USW00014739,"BOSTON, MA US",1937-06-05,SPRING,59,78,
156,USW00014739,"BOSTON, MA US",1937-06-06,SPRING,59,74,
157,USW00014739,"BOSTON, MA US",1937-06-07,SPRING,62,75,
